molecule_chembl_id,canonical_smiles,reason,split
CHEMBL3935565,CC1(C#N)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3905950,COC1(C)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3957940,O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CC(F)(F)C2)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5817556,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(S(=O)(=O)C2CC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5957168,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(S(=O)(=O)C2CC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4647622,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccn(C)n2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5560504,CC(C)n1cnnc1-c1cccc(-n2cnc3ccc(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5825854,Cc1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5972794,Cc1cc2ncn(-c3cccc(-c4nnc(C)n4C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5790739,Cc1cc2ncn(-c3cccc(-c4nnc(C)n4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5838350,Cc1cc2ncn(-c3cccc(-c4nncn4CC(F)(F)F)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5777035,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(Cl)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6012417,CCc1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5827251,COc1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5805158,COCCOc1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6014005,CC(C)c1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5932034,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(OCC(N)=O)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6017220,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(O)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5892359,CNC(=O)COc1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6031711,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(OCCCS(C)(=O)=O)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5772549,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(OCCO)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5854181,CCC(CC)n1cnnc1-c1cccc(-n2cnc3cc(C)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5904285,Cc1cc2ncn(-c3cccc(-c4nncn4C(C)(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5958780,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(OCCCF)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5942325,CC(C)n1cnnc1-c1cccc(-n2cnc3cc(N(C)C)c(-n4cnc(C5CC5)c4)cc3c2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5762686,Cc1cc2ncn(-c3cccc(-c4nncn4C(C)CO)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5787862,O=C1c2cc(-c3cccnc3)c(OC3CCCC3)cc2CN1c1cccc(-c2nncn2C2CC2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6046804,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(NC(=O)c3ccccn3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5953734,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5915049,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(NC(=O)c3cc(CN)ccn3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5856178,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3C(C)C)n2)cc1-c1cc(C2CC2)on1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5560758,C=C(C)[C@@H]1CC[C@]2(C(=O)N(CCOCCOn3nnc4ccccc43)C(=O)OC(C)(C)C)CC[C@]3(C)[C@H](C[C@H]4OC(=O)C[C@@H](O)[C@]5(C)[C@@H]4[C@@]3(C)CC[C@H]5C(=C)C)[C@@H]12,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL2205633,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5758542,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)N2CCOCC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5839506,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(S(=O)(=O)c2ccccc2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5947207,Cc1cc2c(F)cn(-c3cccc(-c4nnc5n4CCCC5)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
